series,episode,win_rate
douzero,75040.0,0.588
douzero,150080.0,0.636
douzero,225040.0,0.646
douzero,300000.0,0.641
douzero,375040.0,0.638
douzero,450160.0,0.649
douzero,525040.0,0.645
douzero,600000.0,0.677
douzero,675040.0,0.666
douzero,750000.0,0.671
douzero,825040.0,0.696
douzero,900160.0,0.652
douzero,975040.0,0.684
douzero,1050000.0,0.672
douzero,1125120.0,0.682
douzero,1200000.0,0.662
douzero,1275040.0,0.68
douzero,1350080.0,0.694
douzero,1425040.0,0.718
douzero,1500000.0,0.706
douzero,1500880.0,0.703
rlcard_baseline,50016,0.443
rlcard_baseline,1500880.0,0.443
td_1m_gamma,50016,0.361
td_1m_gamma,100000,0.494
td_1m_gamma,150016,0.386
td_1m_gamma,200000,0.538
td_1m_gamma,250016,0.479
td_1m_gamma,300000,0.555
td_1m_gamma,350016,0.583
td_1m_gamma,400000,0.61
td_1m_gamma,450016,0.576
td_1m_gamma,500000,0.59
td_1m_gamma,550016,0.585
td_1m_gamma,600000,0.576
td_1m_gamma,650016,0.533
td_1m_gamma,700000,0.552
td_1m_gamma,750016,0.508
td_1m_gamma,800000,0.536
td_1m_gamma,850016,0.395
td_1m_gamma,900000,0.339
td_1m_gamma,950016,0.498
td_1m_gamma,1000000,0.546
