series,episode,x_value,win_rate
baseline_50,50016,50016.0,0.5
baseline_50,1500880,1500880.0,0.5
douzero,75040,75040.0,0.588
douzero,150080,150080.0,0.636
douzero,225040,225040.0,0.646
douzero,300000,300000.0,0.641
douzero,375040,375040.0,0.638
douzero,450160,450160.0,0.649
douzero,525040,525040.0,0.645
douzero,600000,600000.0,0.677
douzero,675040,675040.0,0.666
douzero,750000,750000.0,0.671
douzero,825040,825040.0,0.696
douzero,900160,900160.0,0.652
douzero,975040,975040.0,0.684
douzero,1050000,1050000.0,0.672
douzero,1125120,1125120.0,0.682
douzero,1200000,1200000.0,0.662
douzero,1275040,1275040.0,0.68
douzero,1350080,1350080.0,0.694
douzero,1425040,1425040.0,0.718
douzero,1500000,1500000.0,0.706
douzero,1500880,1500880.0,0.703
mc_1m,50016,50016.0,0.0
mc_1m,100000,100000.0,0.0
mc_1m,150016,150016.0,0.0
mc_1m,200000,200000.0,0.0
mc_1m,250016,250016.0,0.0
mc_1m,300000,300000.0,0.0
mc_1m,350016,350016.0,0.0
mc_1m,400000,400000.0,0.0
mc_1m,450016,450016.0,0.0
mc_1m,500000,500000.0,0.0
mc_1m,550016,550016.0,0.0
mc_1m,600000,600000.0,0.0
mc_1m,650016,650016.0,0.0
mc_1m,700000,700000.0,0.0
mc_1m,750016,750016.0,0.0
mc_1m,800000,800000.0,0.0
mc_1m,850016,850016.0,0.0
mc_1m,900000,900000.0,0.0
mc_1m,950016,950016.0,0.0
mc_1m,1000000,1000000.0,0.0
td_1m,50016,50016.0,0.331
td_1m,100000,100000.0,0.479
td_1m,150016,150016.0,0.487
td_1m,200000,200000.0,0.509
td_1m,250016,250016.0,0.532
td_1m,300000,300000.0,0.515
td_1m,350016,350016.0,0.561
td_1m,400000,400000.0,0.599
td_1m,450016,450016.0,0.601
td_1m,500000,500000.0,0.619
td_1m,550016,550016.0,0.549
td_1m,600000,600000.0,0.526
td_1m,650016,650016.0,0.619
td_1m,700000,700000.0,0.574
td_1m,750016,750016.0,0.5
td_1m,800000,800000.0,0.555
td_1m,850016,850016.0,0.536
td_1m,900000,900000.0,0.524
td_1m,950016,950016.0,0.589
td_1m,1000000,1000000.0,0.607
