series,episode,x_value,win_rate
approxq,50000,50000.0,0.28
approxq,100000,100000.0,0.258
approxq,150000,150000.0,0.64
approxq,200000,200000.0,0.307
approxq,250000,250000.0,0.48
approxq,300000,300000.0,0.155
approxq,350000,350000.0,0.296
approxq,400000,400000.0,0.197
approxq,450000,450000.0,0.496
approxq,500000,500000.0,0.243
approxq,550000,550000.0,0.044
approxq,600000,600000.0,0.416
approxq,650000,650000.0,0.028
approxq,700000,700000.0,0.177
approxq,750000,750000.0,0.718
approxq,800000,800000.0,0.273
approxq,850000,850000.0,0.188
approxq,900000,900000.0,0.276
approxq,950000,950000.0,0.357
approxq,1000000,1000000.0,0.685
baseline_50,50000,50000.0,0.5
baseline_50,1500880,1500880.0,0.5
douzero,75040,75040.0,0.588
douzero,150080,150080.0,0.636
douzero,225040,225040.0,0.646
douzero,300000,300000.0,0.641
douzero,375040,375040.0,0.638
douzero,450160,450160.0,0.649
douzero,525040,525040.0,0.645
douzero,600000,600000.0,0.677
douzero,675040,675040.0,0.666
douzero,750000,750000.0,0.671
douzero,825040,825040.0,0.696
douzero,900160,900160.0,0.652
douzero,975040,975040.0,0.684
douzero,1050000,1050000.0,0.672
douzero,1125120,1125120.0,0.682
douzero,1200000,1200000.0,0.662
douzero,1275040,1275040.0,0.68
douzero,1350080,1350080.0,0.694
douzero,1425040,1425040.0,0.718
douzero,1500000,1500000.0,0.706
douzero,1500880,1500880.0,0.703
